month,month_num,day,karawatha_19,karawatha_17
Jan,1,1,0,0
Jan,1,2,0,0
Jan,1,3,2,82
Jan,1,4,19,1.2
Jan,1,5,0,0
Jan,1,6,0,1
Jan,1,7,0,11.2
Jan,1,8,0,0
Jan,1,9,0,0
Jan,1,10,0,0
Jan,1,11,0,0
Jan,1,12,0,0
Jan,1,13,0,1
Jan,1,14,0,0
Jan,1,15,0,0
Jan,1,16,0,40.4
Jan,1,17,0,0
Jan,1,18,0,0
Jan,1,19,0,0
Jan,1,20,0,0
Jan,1,21,0,0.4
Jan,1,22,0,2.4
Jan,1,23,0,0
Jan,1,24,0,0
Jan,1,25,0,0
Jan,1,26,0,0
Jan,1,27,0,7.4
Jan,1,28,0,6.8
Jan,1,29,0,0
Jan,1,30,4,0
Jan,1,31,2,0
Feb,2,1,0,0
Feb,2,2,1,0
Feb,2,3,4,0
Feb,2,4,12,0
Feb,2,5,2,0
Feb,2,6,16,0
Feb,2,7,12,0
Feb,2,8,1,0
Feb,2,9,0,5.8
Feb,2,10,0,1.2
Feb,2,11,0,0
Feb,2,12,0,0
Feb,2,13,0,0
Feb,2,14,0,8
Feb,2,15,0,0
Feb,2,16,0,0
Feb,2,17,0,0
Feb,2,18,0,0
Feb,2,19,0,3.2
Feb,2,20,0,10
Feb,2,21,0,0
Feb,2,22,0,0
Feb,2,23,0,0
Feb,2,24,0,0
Feb,2,25,0,0
Feb,2,26,0,0
Feb,2,27,0,0
Feb,2,28,1,0
Mar,3,1,1,0
Mar,3,2,6,0
Mar,3,3,3,0.2
Mar,3,4,0,0.4
Mar,3,5,0,4.4
Mar,3,6,0,0
Mar,3,7,0,0
Mar,3,8,8,0
Mar,3,9,0,0
Mar,3,10,0,0
Mar,3,11,0,0
Mar,3,12,1,0
Mar,3,13,0,0
Mar,3,14,0,2.2
Mar,3,15,4,43.6
Mar,3,16,56,0
Mar,3,17,33,0
Mar,3,18,15,10
Mar,3,19,4,0
Mar,3,20,0,21
Mar,3,21,0,49
Mar,3,22,1,2.4
Mar,3,23,0,3.2
Mar,3,24,0,0
Mar,3,25,0,20
Mar,3,26,0,0
Mar,3,27,1,0
Mar,3,28,20,0
Mar,3,29,2,0
Mar,3,30,13,81.2
Mar,3,31,2,116.4
Apr,4,1,0,0
Apr,4,2,1,0
Apr,4,3,1,0
Apr,4,4,1,0
Apr,4,5,0,0
Apr,4,6,0,0.6
Apr,4,7,0,0.8
Apr,4,8,0,0
Apr,4,9,0,0
Apr,4,10,0,0
Apr,4,11,0,0
Apr,4,12,0,0
Apr,4,13,2,0
Apr,4,14,0,0
Apr,4,15,0,0
Apr,4,16,0,0.4
Apr,4,17,0,0
Apr,4,18,0,0
Apr,4,19,1,0
Apr,4,20,15,0
Apr,4,21,15,0.2
Apr,4,22,4,0.6
Apr,4,23,4,0
Apr,4,24,0,0
Apr,4,25,0,0
Apr,4,26,0,0
Apr,4,27,0,1.8
Apr,4,28,0,0
Apr,4,29,0,0
Apr,4,30,0,0
May,5,1,1,0
May,5,2,0,0
May,5,3,0,0
May,5,4,0,0
May,5,5,5,0
May,5,6,0,0
May,5,7,0,0
May,5,8,0,0
May,5,9,0,10.8
May,5,10,0,0.2
May,5,11,2,2
May,5,12,0,0
May,5,13,0,0
May,5,14,0,4
May,5,15,0,0.6
May,5,16,0,0
May,5,17,15,0
May,5,18,0,0
May,5,19,0,4.6
May,5,20,1,3.2
May,5,21,0,0
May,5,22,0,0
May,5,23,0,0
May,5,24,0,0
May,5,25,0,0
